filename,path,label,split
recording11286.wav_norm_mono.wav,./data/FOR/for-rerecorded/training/real/recording11286.wav_norm_mono.wav,real,train
recording7203.wav_norm_mono.wav,./data/FOR/for-rerecorded/training/real/recording7203.wav_norm_mono.wav,real,train
recording10722.wav_norm_mono.wav,./data/FOR/for-rerecorded/training/real/recording10722.wav_norm_mono.wav,real,train
recording12458.wav_norm_mono.wav,./data/FOR/for-rerecorded/training/real/recording12458.wav_norm_mono.wav,real,train
recording6874.wav_norm_mono.wav,./data/FOR/for-rerecorded/training/real/recording6874.wav_norm_mono.wav,real,train
recording11055.wav_norm_mono.wav,./data/FOR/for-rerecorded/training/real/recording11055.wav_norm_mono.wav,real,train
recording8584.wav_norm_mono.wav,./data/FOR/for-rerecorded/training/real/recording8584.wav_norm_mono.wav,real,train
recording10379.wav_norm_mono.wav,./data/FOR/for-rerecorded/training/real/recording10379.wav_norm_mono.wav,real,train
recording6728.wav_norm_mono.wav,./data/FOR/for-rerecorded/training/real/recording6728.wav_norm_mono.wav,real,train
recording6890.wav_norm_mono.wav,./data/FOR/for-rerecorded/training/real/recording6890.wav_norm_mono.wav,real,train
recording12389.wav_norm_mono.wav,./data/FOR/for-rerecorded/training/real/recording12389.wav_norm_mono.wav,real,train
recording8551.wav_norm_mono.wav,./data/FOR/for-rerecorded/training/real/recording8551.wav_norm_mono.wav,real,train
recording6833.wav_norm_mono.wav,./data/FOR/for-rerecorded/training/real/recording6833.wav_norm_mono.wav,real,train
recording9233.wav_norm_mono.wav,./data/FOR/for-rerecorded/training/real/recording9233.wav_norm_mono.wav,real,train
recording7616.wav_norm_mono.wav,./data/FOR/for-rerecorded/training/real/recording7616.wav_norm_mono.wav,real,train
recording12472.wav_norm_mono.wav,./data/FOR/for-rerecorded/training/real/recording12472.wav_norm_mono.wav,real,train
recording12036.wav_norm_mono.wav,./data/FOR/for-rerecorded/training/real/recording12036.wav_norm_mono.wav,real,train
recording8335.wav_norm_mono.wav,./data/FOR/for-rerecorded/training/real/recording8335.wav_norm_mono.wav,real,train
recording7020.wav_norm_mono.wav,./data/FOR/for-rerecorded/training/real/recording7020.wav_norm_mono.wav,real,train
recording9061.wav_norm_mono.wav,./data/FOR/for-rerecorded/training/real/recording9061.wav_norm_mono.wav,real,train
recording8929.wav_norm_mono.wav,./data/FOR/for-rerecorded/training/real/recording8929.wav_norm_mono.wav,real,train
recording10267.wav_norm_mono.wav,./data/FOR/for-rerecorded/training/real/recording10267.wav_norm_mono.wav,real,train
